#name	length	coverage
NODE_365	214	1.157233
NODE_366	214	1.012579
NODE_367	213	1.455696
NODE_368	213	1.354430
NODE_369	213	1.164557
NODE_370	213	1.164557
NODE_371	213	1.164557
NODE_372	213	1.145570
NODE_373	213	1.088608
NODE_374	212	1.757962
NODE_375	212	1.464968
NODE_376	212	1.464968
NODE_377	212	1.445860
NODE_378	212	1.439490
NODE_379	212	1.356688
NODE_380	212	1.171975
NODE_381	212	1.140127
NODE_382	212	1.140127
NODE_383	212	1.127389
NODE_384	212	1.095541
NODE_385	211	1.769231
NODE_386	211	1.410256
NODE_387	211	1.269231
NODE_388	211	1.179487
NODE_389	211	1.179487
NODE_390	211	1.179487
NODE_391	211	1.179487
NODE_392	211	1.179487
NODE_393	210	1.722581
NODE_394	210	1.483871
NODE_395	210	1.464516
NODE_396	210	1.187097
NODE_397	210	1.122581
NODE_398	210	1.064516
NODE_399	209	107.935065
NODE_400	209	1.500000
NODE_401	209	1.194805
NODE_402	209	1.194805
NODE_403	209	1.194805
NODE_404	209	1.194805
NODE_405	209	1.181818
NODE_406	209	1.025974
NODE_407	209	0.987013
NODE_408	208	2.745098
NODE_409	208	1.653595
NODE_410	208	1.339869
NODE_411	208	1.202614
NODE_412	208	1.202614
NODE_413	208	0.830065
NODE_414	207	2.118421
NODE_415	207	1.815789
NODE_416	207	1.309211
NODE_417	207	1.210526
NODE_418	207	1.210526
NODE_419	207	1.210526
NODE_420	207	1.210526
NODE_421	207	1.210526
NODE_422	207	1.210526
NODE_423	207	1.210526
NODE_424	207	1.026316
NODE_425	207	0.894737
NODE_426	206	2.119205
NODE_427	206	1.523179
NODE_428	206	1.490066
NODE_429	206	1.483444
NODE_430	206	1.350993
NODE_431	206	1.218543
NODE_432	206	1.218543
NODE_433	206	1.218543
NODE_434	206	1.218543
NODE_435	206	1.185430
NODE_436	206	0.874172
NODE_437	206	0.768212
NODE_438	205	51.353333
NODE_439	201	246.184932
NODE_440	185	130.669231
NODE_441	165	490.409091
NODE_442	164	127.688073
NODE_443	144	132.528090
NODE_444	141	115.720930
NODE_445	140	253.435294
NODE_446	140	123.729412
NODE_447	139	1.750000
NODE_448	134	115.278481
NODE_449	132	112.675325
NODE_450	131	126.881579
NODE_451	129	130.229730
NODE_452	128	98.424658
NODE_453	125	256.528571
NODE_454	124	113.376812
NODE_455	123	109.367647
NODE_456	123	87.529412
NODE_457	122	110.268657
NODE_458	121	4.393939
NODE_459	114	117.796610
NODE_460	114	113.406780
NODE_461	111	416.714286
NODE_462	111	403.589286
NODE_463	111	208.607143
NODE_464	111	164.000000
NODE_465	111	142.714286
NODE_466	111	137.375000
NODE_467	111	135.375000
NODE_468	111	115.339286
NODE_469	111	38.303571
NODE_470	110	124.654545
NODE_471	109	2.074074
NODE_472	108	105.528302
NODE_473	104	80.469388
NODE_474	104	14.285714
NODE_475	104	13.979592
NODE_476	102	85.553191
NODE_477	101	109.521739
NODE_478	100	517.111111
NODE_479	97	1.833333
NODE_480	91	1.277778
NODE_481	91	1.111111
NODE_482	89	165.558824
NODE_483	88	138.606061
NODE_484	81	595.384615
NODE_485	80	107.200000
NODE_486	73	4.333333
NODE_487	72	89.058824
NODE_488	70	190.066667
NODE_489	70	1.933333
NODE_490	69	360.000000
NODE_491	67	18.500000
NODE_492	67	2.083333
NODE_493	66	243.363636
NODE_494	65	217.900000
NODE_495	62	9.857143
NODE_496	60	264.400000
NODE_497	60	232.800000
NODE_498	56	489.000000
NODE_499	56	227.000000
